"Name","Screen name","Party","Constituency","Followers","New followers in last 24 hours"
"Rob Butler","@AylesburyTories","Conservative","Aylesbury",1051,0
"Rishi Sunak","@RishiSunak","Conservative","Richmond (Yorks)",513783,8
"Richard Holden","@RicHolden","Conservative","North West Durham",10307,9
"Richard Graham ","@RichardGrahamUK","Conservative","Gloucester",13247,-3
"Richard Gordon Thomson","@RThomsonMP","Scottish National Party","Gordon",3665,43
"Richard Burgon ","@RichardBurgon","Labour","Leeds East",172796,37
"Richard Bacon","@richardbaconmp","Conservative","South Norfolk",1853,1
"Rehman Chishti ","@Rehman_Chishti","Conservative","Gillingham and Rainham",20040,5
"Rebecca Pow ","@pow_rebecca","Conservative","Taunton Deane",15229,-3
"Rebecca Long-Bailey","@RLong_Bailey","Labour","Salford and Eccles",192598,2
"Rebecca Harris ","@RebeccaHarrisMP","Conservative","Castle Point",7365,4
"Ranil Jayawardena ","@TeamRanil","Conservative","North East Hampshire",2185,1
"Rachel Reeves ","@RachelReevesMP","Labour","Leeds West",136762,126
"Rachel Maclean","@redditchrachel","Conservative","Redditch",12642,1
"Rachel Hopkins","@rach_hopkins","Labour","Luton South",9290,3
"Rachael Maskell ","@RachaelMaskell","Labour","York Central",34916,3
"Priti Patel ","@pritipatel","Conservative","Witham",399830,75
"Preet Gill","@PreetKGillMP","Labour","Birmingham, Edgbaston",41242,3
"Philip Dunne","@Dunne4Ludlow","Conservative","Ludlow",12765,-4
"Philip Davies ","@PhilipDaviesUK","Conservative","Shipley",21648,0
"Peter Kyle ","@peterkyle","Labour","Hove",51704,14
"Peter Grant ","@PeterGrantMP","Scottish National Party","Glenrothes",16739,1
"Peter Gibson","@Gibbo4Darlo","Conservative","Darlington",4128,2
"Peter Dowd ","@Peter_Dowd","Labour","Bootle",18415,5
"Peter Bottomley","@PBottomleyMP","Conservative","Worthing West",5794,4
"Peter Bone ","@PeterBoneUK","Conservative","Wellingborough",44310,-12
"Peter Aldous ","@peter_aldous","Conservative","Waveney",14109,0
"Pete Wishart ","@PeteWishart","Scottish National Party","Perth and North Perthshire",56693,9
"Penny Mordaunt ","@PennyMordaunt","Conservative","Portsmouth North",95513,27
"Pauline Latham ","@Pauline_Latham","Conservative","Mid Derbyshire",21744,0
"Paula Barker","@PaulaBarkerMP","Labour","Liverpool, Wavertree",16334,-1
"Paul Scully ","@scullyp","Conservative","Sutton and Cheam",16868,-3
"Paul Maynard ","@PaulMaynardUK","Conservative","Blackpool North and Cleveleys",19256,3
"Paul Maskey ","@PaulMaskeyMP","Sinn Féin","Belfast West",20272,-2
"Paul Howell","@PaulHowellMP","Conservative","Sedgefield",3563,1
"Paul Holmes","@pauljholmes","Conservative","Eastleigh",7816,6
"Paul Girvan","@PaulGirvanMP","Democratic Unionist Party","South Antrim",6546,-1
"Paul Bristow","@paulbristow79","Conservative","Peterborough",10158,9
"Paul Blomfield ","@PaulBlomfieldMP","Labour","Sheffield Central",22527,2
"Patrick Grady ","@GradySNP","Scottish National Party","Glasgow North",17073,-1
"Patricia Gibson ","@PGibsonSNP","Scottish National Party","North Ayrshire and Arran",13360,0
"Pat McFadden ","@patmcfaddenmp","Labour","Wolverhampton South East",28204,4
"Owen Thompson ","@OwenThompson","Scottish National Party","Midlothian",8268,-1
"Órfhlaith Begley","@OrfhlaithBegley","Sinn Féin","West Tyrone",8593,6
"Olivia Frances Blake","@_OliviaBlake","Labour","Sheffield, Hallam",17677,1
"Oliver Heald QC ","@OliverHealdUK","Conservative","North East Hertfordshire",11995,-1
"Oliver Dowden","@OliverDowden","Conservative","Hertsmere",42738,6
"Nusrat Ghani ","@Nus_Ghani","Conservative","Wealden",29009,-4
"Nigel Mills ","@nigelmills","Conservative","Amber Valley",6524,-2
"Nigel Huddleston ","@HuddlestonNigel","Conservative","Mid Worcestershire",18556,12
"Nigel Evans","@nigelmp","Conservative","Ribble Valley",13699,2
"Nigel Adams","@nadams","Conservative","Selby and Ainsty",14452,4
"Nicola Faye Richards","@Nicola4WBE","Conservative","West Bromwich East",9108,4
"Nickie Aiken","@twocitiesnickie","Conservative","Cities of London and Westminster",4829,66
"Nick Thomas-Symonds ","@NickTorfaen","Labour","Torfaen",34672,1
"Nick Smith ","@BlaenauGwentMP","Labour","Blaenau Gwent",10929,2
"Nick Gibb","@NickGibbUK","Conservative","Bognor Regis and Littlehampton",18624,-3
"Nicholas Fletcher","@NickFletcherMP","Conservative","Don Valley",4225,3
"Nia Griffith ","@NiaGriffithMP","Labour","Llanelli",18827,4
"Neil Parish ","@neil_parish","Conservative","Tiverton and Honiton",8315,14
"Neil O'Brien","@NeilDotObrien","Conservative","Harborough",33920,2
"Neil Hudson","@DrNeilHudson","Conservative","Penrith and The Border",4481,0
"Neil Coyle ","@coyleneil","Labour","Bermondsey and Old Southwark",28881,2
"Neale Hanvey","@JNHanvey","Scottish National Party","Kirkcaldy and Cowdenbeath",8809,3
"Naz Shah ","@NazShahBfd","Labour","Bradford West",59074,-4
"Nav Mishra","@NavPMishra","Labour","Stockport",12691,8
"Natalie Elphicke","@NatalieElphicke","Conservative","Dover",7606,3
"Nadine Dorries ","@NadineDorries","Conservative","Mid Bedfordshire",130315,71
"Nadia Whittome","@NadiaWhittomeMP","Labour","Nottingham East",103705,52
"Nadhim Zahawi ","@nadhimzahawi","Conservative","Stratford-on-Avon",87703,24
"Munira Wilson","@munirawilson","Liberal Democrat","Twickenham",17026,6
"Mohammad Yasin","@YasinForBedford","Labour","Bedford",3314,1
"Mims Davies ","@mimsdavies","Conservative","Mid Sussex",17446,-4
"Mike Wood ","@mikejwood","Conservative","Dudley South",7664,0
"Mike Kane ","@MikeKaneMP","Labour","Wythenshawe and Sale East",12348,2
"Mike Amesbury","@MikeAmesburyMP","Labour","Weaver Vale",12177,0
"Mickey Brady ","@MickeyBradySF","Sinn Féin","Newry and Armagh",5372,0
"Mick Whitley","@MickWhitleyMP","Labour","Birkenhead",12858,2
"Michelle Gildernew","@gildernewm","Sinn Féin","Fermanagh and South Tyrone",20820,8
